iter	Accuracy	MultiClass
218	0.6732220161	0.7762318848
219	0.6732220161	0.7757276712
220	0.6734693878	0.775392154
221	0.6743351886	0.7749919459
222	0.6743351886	0.7745853349
223	0.6753246753	0.7740473582
224	0.6756957328	0.7735118887
225	0.6761904762	0.773041892
226	0.6761904762	0.7727053035
227	0.6756957328	0.7721706021
228	0.6760667904	0.7718831457
229	0.676314162	0.7715271053
230	0.6765615337	0.7711532774
231	0.6770562771	0.7706486491
232	0.6775510204	0.7702952161
233	0.6781694496	0.769676654
234	0.6782931354	0.769230107
235	0.6791589363	0.7686155553
236	0.679406308	0.7681715813
237	0.6796536797	0.7675375004
238	0.6800247372	0.767162682
239	0.6800247372	0.7668686786
240	0.6806431664	0.7663025678
241	0.6807668522	0.765710801
242	0.6810142239	0.7652070171
243	0.6817563389	0.7647309538
244	0.6821273964	0.7643038192
245	0.6822510823	0.7638625295
246	0.6828695114	0.7635004607
247	0.6829931973	0.7629349715
248	0.6827458256	0.7626573513
249	0.6836116265	0.7620501078
250	0.6834879406	0.7616990615
251	0.683982684	0.7611828141
252	0.6843537415	0.7606147512
253	0.6850958565	0.760224655
254	0.6853432282	0.7598492856
255	0.6857142857	0.7593114891
256	0.6865800866	0.7588638019
257	0.6864564007	0.7583135214
258	0.6863327149	0.7578397932
259	0.6863327149	0.7574996091
260	0.6864564007	0.7571149974
261	0.6869511441	0.7567413396
262	0.6874458874	0.7563482926
263	0.6874458874	0.7560324346
264	0.6874458874	0.755708664
265	0.6881880025	0.755096365
266	0.6880643166	0.7546959413
267	0.6884353741	0.7542741406
268	0.6883116883	0.7538809937
269	0.6886827458	0.7533873802
270	0.689301175	0.752906851
271	0.6896722325	0.7524090673
272	0.6907854051	0.7519235233
273	0.6910327767	0.751358317
274	0.6917748918	0.7508911799
275	0.6917748918	0.7503198003
276	0.6917748918	0.7498539612
277	0.6921459493	0.7493694358
278	0.6921459493	0.7489632992
279	0.6930117502	0.7485864161
280	0.693135436	0.7480744129
281	0.6932591218	0.7476160466
282	0.6937538652	0.7469718087
283	0.693877551	0.7465872775
284	0.6936301793	0.7460821521
285	0.6943722944	0.7455387212
286	0.6951144094	0.7449130703
287	0.6956091528	0.7443672711
288	0.6959802103	0.7438194204
289	0.6967223253	0.7433335954
290	0.6965986395	0.742983047
291	0.6973407545	0.7424137956
292	0.6973407545	0.7418826632
293	0.6975881262	0.7413309087
294	0.6983302412	0.7408753619
295	0.6993197279	0.7403420439
296	0.6995670996	0.7400487403
297	0.6995670996	0.7396001275
298	0.6998144712	0.7392000122
299	0.7004329004	0.7387780396
300	0.7005565863	0.7384582949
301	0.7011750155	0.7380177077
302	0.7012987013	0.7376398488
303	0.7016697588	0.7372578563
304	0.701546073	0.7366693008
305	0.7021645022	0.7362476735
306	0.7019171305	0.7359002635
307	0.7016697588	0.7354823575
308	0.7021645022	0.7350596138
309	0.7024118738	0.7347390031
310	0.7031539889	0.7343355763
311	0.7034013605	0.7339545579
312	0.7035250464	0.7336576302
313	0.7041434756	0.7331907316
314	0.7052566481	0.7327375951
315	0.7055040198	0.7322254738
316	0.7059987631	0.7316344809
317	0.7059987631	0.7310553348
318	0.7063698207	0.7307978395
319	0.7071119357	0.7302413412
320	0.7074829932	0.7296419844
321	0.7078540507	0.7292170778
322	0.7077303649	0.7286844615
323	0.7081014224	0.7281562327
324	0.7092145949	0.7276050332
325	0.7094619666	0.7272146549
326	0.70995671	0.726695508
327	0.7098330241	0.726262666
328	0.70995671	0.7258592371
329	0.70995671	0.7254107374
330	0.7105751391	0.7249762285
331	0.710698825	0.7243657456
332	0.7111935683	0.7240215437
333	0.7118119975	0.7236799883
334	0.7123067409	0.7231061059
335	0.7128014842	0.7227508066
336	0.7126777984	0.7222862902
337	0.7132962276	0.7219548286
338	0.7131725417	0.7215948114
339	0.7135435993	0.7210650494
340	0.7140383426	0.72071562
341	0.7142857143	0.720333608
342	0.7147804576	0.7198414808
343	0.7147804576	0.7196119236
344	0.7149041435	0.7193764357
345	0.7151515152	0.7190109813
346	0.7162646877	0.7185273028
347	0.7163883735	0.7180971541
348	0.7163883735	0.7177004315
349	0.7162646877	0.7173721388
350	0.7171304886	0.7167802589
351	0.7171304886	0.7163595198
352	0.7176252319	0.715959815
353	0.7184910328	0.7154109483
354	0.7187384045	0.7150305836
355	0.7196042053	0.7146136416
356	0.7196042053	0.7142696958
357	0.7200989487	0.7139154413
358	0.7209647495	0.7134615514
359	0.7208410637	0.7131192597
360	0.7212121212	0.7126087349
361	0.7215831787	0.7123457721
362	0.7214594929	0.7118570718
363	0.7215831787	0.7113264994
364	0.7222016079	0.7109405039
365	0.7228200371	0.7106721258
366	0.7235621521	0.7103153895
367	0.7239332096	0.7099538243
368	0.7238095238	0.7095335808
369	0.7245516388	0.7090249959
370	0.725170068	0.7085782322
371	0.7252937539	0.7081125839
372	0.7261595547	0.7074935486
373	0.7265306122	0.7071468394
374	0.7261595547	0.7068284762
375	0.7269016698	0.7064760644
376	0.7272727273	0.7061774875
377	0.7281385281	0.7057472312
378	0.7285095857	0.7053114145
379	0.7285095857	0.7050221816
380	0.7283858998	0.7045797692
381	0.7283858998	0.7042839741
382	0.7283858998	0.7038568059
383	0.7287569573	0.7035425908
384	0.7287569573	0.7033333753
385	0.7285095857	0.7028075954
386	0.729004329	0.7024007818
387	0.7296227582	0.7018610312
388	0.7306122449	0.7014019048
389	0.7303648732	0.7010317581
390	0.7312306741	0.7006457764
391	0.7317254174	0.7001776154
392	0.7319727891	0.6995809122
393	0.7319727891	0.6990185775
394	0.732096475	0.6987218245
395	0.7323438466	0.6983164363
396	0.7329622758	0.697873696
397	0.7333333333	0.697488745
398	0.7333333333	0.6971356434
399	0.7339517625	0.6967603144
400	0.7344465059	0.6963859161
401	0.7349412492	0.6959651
402	0.7351886209	0.6955619889
403	0.7359307359	0.6952228512
404	0.7365491651	0.6949990597
405	0.736672851	0.694666753
406	0.7370439085	0.6943732521
407	0.7379097093	0.6939894503
408	0.738157081	0.693570193
409	0.7384044527	0.6929605134
410	0.7391465677	0.6925023316
411	0.7390228819	0.6922220705
412	0.7391465677	0.6919002335
413	0.7393939394	0.6914424509
414	0.7395176252	0.6910198191
415	0.7400123686	0.6905053962
416	0.7398886827	0.6901073538
417	0.7406307978	0.6894884605
418	0.7410018553	0.6890117226
419	0.741249227	0.6886646123
420	0.7421150278	0.6882756205
421	0.7414965986	0.6879931461
422	0.7413729128	0.6876447345
423	0.7423623995	0.6872316524
424	0.7423623995	0.6867624661
425	0.742733457	0.6863506223
426	0.7429808287	0.6860578605
427	0.743475572	0.6856147867
428	0.743475572	0.6852192278
429	0.7443413729	0.6848397012
430	0.7443413729	0.6844698855
431	0.7453308596	0.6839603221
432	0.745825603	0.6836135202
433	0.7464440322	0.6832690399
434	0.7460729746	0.6828879578
435	0.746567718	0.6824421907
436	0.747309833	0.6820231702
437	0.7479282622	0.6815359586
438	0.747309833	0.6812691691
439	0.7478045764	0.6808730922
440	0.7480519481	0.6803882185
441	0.7487940631	0.6799288276
442	0.7492888064	0.6794810739
443	0.7497835498	0.6791098916
444	0.7492888064	0.6786972159
445	0.7495361781	0.6783468616
446	0.750401979	0.6779194142
447	0.750401979	0.6775140587
448	0.7506493506	0.6771195789
449	0.7506493506	0.6768538424
450	0.7507730365	0.6765495565
451	0.7522572665	0.6761355717
452	0.7528756957	0.6757041392
453	0.7531230674	0.6755010519
454	0.7536178108	0.6750521892
455	0.7532467532	0.6747214057
456	0.7536178108	0.6743760624
457	0.75423624	0.6740544008
458	0.75423624	0.6736308218
459	0.7546072975	0.6733741206
460	0.754978355	0.6729877065
461	0.7546072975	0.6725721851
462	0.7546072975	0.6722159636
463	0.7554730983	0.6719484441
464	0.7555967842	0.671702321
465	0.7553494125	0.6714424449
466	0.7560915275	0.6710063711
467	0.756462585	0.6705350945
